obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
72aabec9-f0c4-42c3-9d09-2df849fdf35e_Object_invoice receipt_Object_delivery indicator;Multi-object;;Responded Existence[invoice receipt, delivery indicator] | | |;Binary;set();set();Responded Existence;invoice receipt;delivery indicator;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice receipt': 0.7698143124580383, 'delivery indicator': 0.745288610458374};0.7575514614582062;72aabec9-f0c4-42c3-9d09-2df849fdf35e_Object_invoice receipt_Object_delivery indicator;0.6850221217639985;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Change Delivery Indicator'];72aabec9-f0c4-42c3-9d09-2df849fdf35e_Object_invoice receipt_Object_delivery indicator;10983
72aabec9-f0c4-42c3-9d09-2df849fdf35e_Object_subsequent invoice_Object_delivery indicator;Multi-object;;Responded Existence[subsequent invoice, delivery indicator] | | |;Binary;set();set();Responded Existence;subsequent invoice;delivery indicator;1;if {1} occurs in the process instance, then {2} occurs as well;{'subsequent invoice': 0.7704519033432007, 'delivery indicator': 0.745288610458374};0.7578702569007874;72aabec9-f0c4-42c3-9d09-2df849fdf35e_Object_subsequent invoice_Object_delivery indicator;0.6853090376623215;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change Delivery Indicator'];72aabec9-f0c4-42c3-9d09-2df849fdf35e_Object_subsequent invoice_Object_delivery indicator;23
8cdb3252-5a0f-470d-ab11-0e8a9fe02ae7_Object_price_Object_purchase order;Multi-object;;Responded Existence[price, purchase order] | | |;Binary;set();set();Responded Existence;price;purchase order;1;if {1} occurs in the process instance, then {2} occurs as well;{'price': 0.5162217020988464, 'purchase order': 1.0};0.7581108510494232;8cdb3252-5a0f-470d-ab11-0e8a9fe02ae7_Object_price_Object_purchase order;0.6855255723960938;['Change Price'];['Release Purchase Order'];8cdb3252-5a0f-470d-ab11-0e8a9fe02ae7_Object_price_Object_purchase order;1093
6ddaf0cd-b7fb-4b88-bf92-37dcc98c3e1b_Object_price_Object_invoice;Multi-object;;Alternate Succession[price, invoice] | | |;Binary;set();set();Alternate Succession;price;invoice;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'price': 0.5162217020988464, 'invoice': 1.0};0.7581108510494232;6ddaf0cd-b7fb-4b88-bf92-37dcc98c3e1b_Object_price_Object_invoice;0.6855255723960938;['Change Price'];['Vendor creates invoice', 'Clear Invoice'];6ddaf0cd-b7fb-4b88-bf92-37dcc98c3e1b_Object_price_Object_invoice;10794
a18f1edc-4ccd-4c6b-8cf9-90660103a555_Object_purchase requisition item_Object_price;Multi-object;;Responded Existence[purchase requisition item, price] | | |;Binary;set();set();Responded Existence;purchase requisition item;price;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase requisition item': 0.5199724435806274, 'price': 1.0000001192092896};0.7599862813949585;a18f1edc-4ccd-4c6b-8cf9-90660103a555_Object_purchase requisition item_Object_price;0.6872134597070755;['Create Purchase Requisition Item'];['Change Price'];a18f1edc-4ccd-4c6b-8cf9-90660103a555_Object_purchase requisition item_Object_price;1010
d46119e6-7402-4fdf-ab5c-a47c00001f61_Object_record goods receipt_Object_cancel invoice receipt;Activity;;Alternate Precedence[record goods receipt, cancel invoice receipt] | | |;Binary;set();set();Alternate Precedence;record goods receipt;cancel invoice receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'record goods receipt': 1.0, 'cancel invoice receipt': 0.5215874910354614};0.7607937455177307;d46119e6-7402-4fdf-ab5c-a47c00001f61_Object_record goods receipt_Object_cancel invoice receipt;0.6882857995373862;['Record Goods Receipt'];['Cancel Invoice Receipt'];d46119e6-7402-4fdf-ab5c-a47c00001f61_Object_record goods receipt_Object_cancel invoice receipt;103
d36e9902-cadb-4ace-ba2f-166acfc06fa2_Object_purchase requisition item_Object_invoice;Multi-object;;Succession[purchase requisition item, invoice] | | |;Binary;set();set();Succession;purchase requisition item;invoice;1;{1} occurs if and only if it is followed by {2};{'purchase requisition item': 0.525179386138916, 'invoice': 1.0};0.762589693069458;d36e9902-cadb-4ace-ba2f-166acfc06fa2_Object_purchase requisition item_Object_invoice;0.6895565302141251;['Create Purchase Requisition Item'];['Vendor creates invoice', 'Clear Invoice'];d36e9902-cadb-4ace-ba2f-166acfc06fa2_Object_purchase requisition item_Object_invoice;10082
a4f0f6e6-7dbf-4390-9bb1-8501a8112892_Object_purchase order_Object_subsequent invoice;Multi-object;;Alternate Response[purchase order, subsequent invoice] | | |;Binary;set();set();Alternate Response;purchase order;subsequent invoice;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'purchase order': 0.7213391661643982, 'subsequent invoice': 0.8053135275840759};0.7633263468742371;a4f0f6e6-7dbf-4390-9bb1-8501a8112892_Object_purchase order_Object_subsequent invoice;0.6902195186384262;['Release Purchase Order'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];a4f0f6e6-7dbf-4390-9bb1-8501a8112892_Object_purchase order_Object_subsequent invoice;1
59c8e624-470c-4c1f-bcc8-34dec7b5bfaa_Object_invoice_Object_purchase requisition item;Multi-object;;Alternate Precedence[invoice, purchase requisition item] | | |;Binary;set();set();Alternate Precedence;invoice;purchase requisition item;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'invoice': 1.0, 'purchase requisition item': 0.5288556814193726};0.7644278407096863;59c8e624-470c-4c1f-bcc8-34dec7b5bfaa_Object_invoice_Object_purchase requisition item;0.6912108630903305;['Vendor creates invoice', 'Clear Invoice'];['Create Purchase Requisition Item'];59c8e624-470c-4c1f-bcc8-34dec7b5bfaa_Object_invoice_Object_purchase requisition item;1219
77fb460a-0e98-4956-8587-9eb45f5c034e_Object_change price_Object_reactivate purchase order item;Activity;;Succession[change price, reactivate purchase order item] | | |;Binary;set();set();Succession;change price;reactivate purchase order item;1;{1} occurs if and only if it is followed by {2};{'change price': 0.9999999403953552, 'reactivate purchase order item': 0.528942346572876};0.7644711434841156;77fb460a-0e98-4956-8587-9eb45f5c034e_Object_change price_Object_reactivate purchase order item;0.6915954577071326;['Change Price'];['Reactivate Purchase Order Item'];77fb460a-0e98-4956-8587-9eb45f5c034e_Object_change price_Object_reactivate purchase order item;1101
4ef26705-5e30-42e2-988a-97c6181bc3da_Object_invoice_Object_purchase requisition item;Multi-object;;Responded Existence[invoice, purchase requisition item] | | |;Binary;set();set();Responded Existence;invoice;purchase requisition item;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice': 1.0, 'purchase requisition item': 0.5305654406547546};0.7652827203273773;4ef26705-5e30-42e2-988a-97c6181bc3da_Object_invoice_Object_purchase requisition item;0.6919802547462525;['Vendor creates invoice', 'Clear Invoice'];['Create Purchase Requisition Item'];4ef26705-5e30-42e2-988a-97c6181bc3da_Object_invoice_Object_purchase requisition item;9792
9b9de33d-90e9-43c0-a406-f4b00da0b53a_Object_subsequent invoice;Object;subsequent invoice;Alternate Succession[hold, seal] | | |;Binary;set();set();Alternate Succession;hold;seal;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'subsequent invoice': 0.7704519033432007};0.7704519033432007;9b9de33d-90e9-43c0-a406-f4b00da0b53a_Object_subsequent invoice;0.693562234004215;[];[];9b9de33d-90e9-43c0-a406-f4b00da0b53a_Object_subsequent invoice;5
ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_reactivate purchase order item;Activity;;Alternate Succession[change price, reactivate purchase order item] | | |;Binary;set();set();Alternate Succession;change price;reactivate purchase order item;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'change price': 0.9999999403953552, 'reactivate purchase order item': 0.5342284440994263};0.7671141922473907;ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_reactivate purchase order item;0.6939742015940803;['Change Price'];['Reactivate Purchase Order Item'];ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_reactivate purchase order item;1101
bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_change final invoice indicator_Object_remove payment block;Activity;;Exclusive Choice[change final invoice indicator, remove payment block] | | |;Binary;set();set();Exclusive Choice;change final invoice indicator;remove payment block;1;{1} or {2} occurs, but never both in the same process instance;{'change final invoice indicator': 0.5533753037452698, 'remove payment block': 0.9819870591163635};0.7676811814308167;bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_change final invoice indicator_Object_remove payment block;0.6944844918591636;['Change Final Invoice Indicator'];['Remove Payment Block'];bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_change final invoice indicator_Object_remove payment block;12949
7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_invoice;Multi-object;;Responded Existence[price, invoice] | | |;Binary;set();set();Responded Existence;price;invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'price': 0.5368061661720276, 'invoice': 1.0};0.7684030830860138;7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_invoice;0.6947885812290253;['Change Price'];['Vendor creates invoice', 'Clear Invoice'];7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_invoice;89
6439d424-f25b-4ef9-bf12-c5d8b55bcf42_Object_price_Object_invoice;Multi-object;;Succession[price, invoice] | | |;Binary;set();set();Succession;price;invoice;1;{1} occurs if and only if it is followed by {2};{'price': 0.5368061661720276, 'invoice': 1.0};0.7684030830860138;6439d424-f25b-4ef9-bf12-c5d8b55bcf42_Object_price_Object_invoice;0.6947885812290253;['Change Price'];['Vendor creates invoice', 'Clear Invoice'];6439d424-f25b-4ef9-bf12-c5d8b55bcf42_Object_price_Object_invoice;10124
7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_delete purchase order item_Object_clear invoice;Activity;;Exclusive Choice[delete purchase order item, clear invoice] | | |;Binary;set();set();Exclusive Choice;delete purchase order item;clear invoice;1;{1} or {2} occurs, but never both in the same process instance;{'delete purchase order item': 0.5368058085441589, 'clear invoice': 1.000000238418579};0.768403023481369;7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_delete purchase order item_Object_clear invoice;0.6951341497046607;['Delete Purchase Order Item'];['Clear Invoice'];7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_delete purchase order item_Object_clear invoice;5187
71297f77-2d9b-45ff-ab62-a1e7eb5bb172_Object_invoice_Object_purchase order;Multi-object;;Responded Existence[invoice, purchase order] | | |;Binary;set();set();Responded Existence;invoice;purchase order;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice': 1.0, 'purchase order': 0.5383486151695251};0.7691743075847626;71297f77-2d9b-45ff-ab62-a1e7eb5bb172_Object_invoice_Object_purchase order;0.6954826832778992;['Vendor creates invoice', 'Clear Invoice'];['Release Purchase Order'];71297f77-2d9b-45ff-ab62-a1e7eb5bb172_Object_invoice_Object_purchase order;10722
fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_invoice;Multi-object;;Alternate Precedence[quantity, invoice] | | |;Binary;set();set();Alternate Precedence;quantity;invoice;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'quantity': 0.5423005819320679, 'invoice': 1.0};0.7711502909660339;fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_invoice;0.6972610683210434;['Change Quantity'];['Vendor creates invoice', 'Clear Invoice'];fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_invoice;10625
bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_cancel subsequent invoice_Object_remove payment block;Activity;;Exclusive Choice[cancel subsequent invoice, remove payment block] | | |;Binary;set();set();Exclusive Choice;cancel subsequent invoice;remove payment block;1;{1} or {2} occurs, but never both in the same process instance;{'cancel subsequent invoice': 0.5608184933662415, 'remove payment block': 0.9819870591163635};0.7714027762413025;bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_cancel subsequent invoice_Object_remove payment block;0.6978339271886008;['Cancel Subsequent Invoice'];['Remove Payment Block'];bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_cancel subsequent invoice_Object_remove payment block;12962
944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_subsequent invoice_Object_goods receipt;Multi-object;;Alternate Response[subsequent invoice, goods receipt] | | |;Binary;set();set();Alternate Response;subsequent invoice;goods receipt;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'subsequent invoice': 0.8053135275840759, 'goods receipt': 0.741655707359314};0.773484617471695;944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_subsequent invoice_Object_goods receipt;0.6993619621761383;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Record Goods Receipt', 'Cancel Goods Receipt'];944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_subsequent invoice_Object_goods receipt;17
0a5b371d-c9f2-40d8-91c2-1a05923578ef_Object_approval_Object_invoice;Multi-object;;Responded Existence[approval, invoice] | | |;Binary;set();set();Responded Existence;approval;invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'approval': 1.0000001192092896, 'invoice': 0.5571190714836121};0.7785595953464508;0a5b371d-c9f2-40d8-91c2-1a05923578ef_Object_approval_Object_invoice;0.7039294422634186;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Vendor creates invoice', 'Clear Invoice'];0a5b371d-c9f2-40d8-91c2-1a05923578ef_Object_approval_Object_invoice;113
9630d32c-3683-4f27-a148-4da6a9deaa33_Object_approval_Object_invoice;Multi-object;;Alternate Succession[approval, invoice] | | |;Binary;set();set();Alternate Succession;approval;invoice;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'approval': 1.0000001192092896, 'invoice': 0.5571190714836121};0.7785595953464508;9630d32c-3683-4f27-a148-4da6a9deaa33_Object_approval_Object_invoice;0.7039294422634186;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Vendor creates invoice', 'Clear Invoice'];9630d32c-3683-4f27-a148-4da6a9deaa33_Object_approval_Object_invoice;10764
b1f70635-1032-4ec4-a564-618555e3b578_Object_approval_Object_invoice;Multi-object;;Succession[approval, invoice] | | |;Binary;set();set();Succession;approval;invoice;1;{1} occurs if and only if it is followed by {2};{'approval': 1.0000001192092896, 'invoice': 0.5571190714836121};0.7785595953464508;b1f70635-1032-4ec4-a564-618555e3b578_Object_approval_Object_invoice;0.7039294422634186;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Vendor creates invoice', 'Clear Invoice'];b1f70635-1032-4ec4-a564-618555e3b578_Object_approval_Object_invoice;10351
7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_create purchase order item_Object_clear invoice;Activity;;Exclusive Choice[create purchase order item, clear invoice] | | |;Binary;set();set();Exclusive Choice;create purchase order item;clear invoice;1;{1} or {2} occurs, but never both in the same process instance;{'create purchase order item': 0.5564144253730774, 'clear invoice': 1.000000238418579};0.7782073318958282;7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_create purchase order item_Object_clear invoice;0.703958027277674;['Create Purchase Order Item'];['Clear Invoice'];7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_create purchase order item_Object_clear invoice;9676
ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_release purchase order;Activity;;Alternate Succession[change price, release purchase order] | | |;Binary;set();set();Alternate Succession;change price;release purchase order;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'change price': 0.9999999403953552, 'release purchase order': 0.5592960119247437};0.7796479761600494;ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_release purchase order;0.705254607115473;['Change Price'];['Release Purchase Order'];ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_release purchase order;1094
c10986b6-3a13-48a0-9bcd-c42a57c29afb_Object_approval_Object_goods receipt;Multi-object;;Responded Existence[approval, goods receipt] | | |;Binary;set();set();Responded Existence;approval;goods receipt;6;if {1} occurs in the process instance, then {2} occurs as well;{'approval': 1.0000001192092896, 'goods receipt': 0.5273601412773132};0.7636801302433014;c10986b6-3a13-48a0-9bcd-c42a57c29afb_Object_approval_Object_goods receipt;0.7066669559286487;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Record Goods Receipt', 'Cancel Goods Receipt'];c10986b6-3a13-48a0-9bcd-c42a57c29afb_Object_approval_Object_goods receipt;96
5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_invoice receipt_Object_storage location;Multi-object;;Succession[invoice receipt, storage location] | | |;Binary;set();set();Succession;invoice receipt;storage location;1;{1} occurs if and only if it is followed by {2};{'invoice receipt': 0.7916640639305115, 'storage location': 0.7748793959617615};0.7832717299461365;5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_invoice receipt_Object_storage location;0.7081703634031357;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Change Storage Location'];5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_invoice receipt_Object_storage location;11147
a72203e2-6252-43e9-83ea-6e8099a61c3f_Object_price_Object_approval;Multi-object;;Responded Existence[price, approval] | | |;Binary;set();set();Responded Existence;price;approval;6;if {1} occurs in the process instance, then {2} occurs as well;{'price': 0.5368061661720276, 'approval': 1.0000001192092896};0.7684031426906586;a72203e2-6252-43e9-83ea-6e8099a61c3f_Object_price_Object_approval;0.7109176671312702;['Change Price'];['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];a72203e2-6252-43e9-83ea-6e8099a61c3f_Object_price_Object_approval;1013
8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_invoice receipt_Object_payment term;Multi-object;;Precedence[invoice receipt, payment term] | | |;Binary;set();set();Precedence;invoice receipt;payment term;1;{2} occurs only if it is preceded by {1};{'invoice receipt': 0.7916640639305115, 'payment term': 0.7836142182350159};0.7876391410827637;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_invoice receipt_Object_payment term;0.7121010334261002;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Change payment term'];8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_invoice receipt_Object_payment term;1
bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_record subsequent invoice_Object_remove payment block;Activity;;Exclusive Choice[record subsequent invoice, remove payment block] | | |;Binary;set();set();Exclusive Choice;record subsequent invoice;remove payment block;1;{1} or {2} occurs, but never both in the same process instance;{'record subsequent invoice': 0.5940571427345276, 'remove payment block': 0.9819870591163635};0.7880221009254456;bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_record subsequent invoice_Object_remove payment block;0.7127913194043296;['Record Subsequent Invoice'];['Remove Payment Block'];bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_record subsequent invoice_Object_remove payment block;12954
5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_subsequent invoice_Object_storage location;Multi-object;;Succession[subsequent invoice, storage location] | | |;Binary;set();set();Succession;subsequent invoice;storage location;1;{1} occurs if and only if it is followed by {2};{'subsequent invoice': 0.8053135275840759, 'storage location': 0.7748793959617615};0.7900964617729187;5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_subsequent invoice_Object_storage location;0.7143126220472397;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change Storage Location'];5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_subsequent invoice_Object_storage location;36
472f4f70-7da1-416f-a001-bc9064829b2b_Object_order confirmation_Object_approval;Multi-object;;Alternate Response[order confirmation, approval] | | |;Binary;set();set();Alternate Response;order confirmation;approval;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'order confirmation': 0.5856505632400513, 'approval': 1.0000001192092896};0.7928253412246704;472f4f70-7da1-416f-a001-bc9064829b2b_Object_order confirmation_Object_approval;0.7167686135538163;['Receive Order Confirmation'];['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];472f4f70-7da1-416f-a001-bc9064829b2b_Object_order confirmation_Object_approval;51
d949ee49-ed24-454b-bf08-9fe81e6471a4_Object_order confirmation_Object_approval;Multi-object;;Succession[order confirmation, approval] | | |;Binary;set();set();Succession;order confirmation;approval;1;{1} occurs if and only if it is followed by {2};{'order confirmation': 0.5856505632400513, 'approval': 1.0000001192092896};0.7928253412246704;d949ee49-ed24-454b-bf08-9fe81e6471a4_Object_order confirmation_Object_approval;0.7167686135538163;['Receive Order Confirmation'];['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];d949ee49-ed24-454b-bf08-9fe81e6471a4_Object_order confirmation_Object_approval;702
8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_subsequent invoice_Object_payment term;Multi-object;;Precedence[subsequent invoice, payment term] | | |;Binary;set();set();Precedence;subsequent invoice;payment term;1;{2} occurs only if it is preceded by {1};{'subsequent invoice': 0.8053135275840759, 'payment term': 0.7836142182350159};0.7944638729095459;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_subsequent invoice_Object_payment term;0.7182432920702042;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change payment term'];8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_subsequent invoice_Object_payment term;1
b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment term_Object_invoice receipt;Multi-object;;Responded Existence[payment term, invoice receipt] | | |;Binary;set();set();Responded Existence;payment term;invoice receipt;1;if {1} occurs in the process instance, then {2} occurs as well;{'payment term': 0.8051311373710632, 'invoice receipt': 0.7916640639305115};0.7983976006507874;b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment term_Object_invoice receipt;0.7217836470373215;['Change payment term'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment term_Object_invoice receipt;1
b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_final invoice indicator;Multi-object;;Alternate Response[approval, final invoice indicator] | | |;Binary;set();set();Alternate Response;approval;final invoice indicator;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'approval': 1.0000001192092896, 'final invoice indicator': 0.5973420143127441};0.7986710667610168;b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_final invoice indicator;0.7220297665365281;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Change Final Invoice Indicator'];b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_final invoice indicator;651
ce7ac891-c98e-4065-a51b-78ebd2fe9f1d_Object_approval_Object_final invoice indicator;Multi-object;;Succession[approval, final invoice indicator] | | |;Binary;set();set();Succession;approval;final invoice indicator;1;{1} occurs if and only if it is followed by {2};{'approval': 1.0000001192092896, 'final invoice indicator': 0.5973420143127441};0.7986710667610168;ce7ac891-c98e-4065-a51b-78ebd2fe9f1d_Object_approval_Object_final invoice indicator;0.7220297665365281;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Change Final Invoice Indicator'];ce7ac891-c98e-4065-a51b-78ebd2fe9f1d_Object_approval_Object_final invoice indicator;648
d73f9c91-91e6-4cfa-9460-c5e04baaa2e1_Object_approval_Object_final invoice indicator;Multi-object;;Alternate Succession[approval, final invoice indicator] | | |;Binary;set();set();Alternate Succession;approval;final invoice indicator;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'approval': 1.0000001192092896, 'final invoice indicator': 0.5973420143127441};0.7986710667610168;d73f9c91-91e6-4cfa-9460-c5e04baaa2e1_Object_approval_Object_final invoice indicator;0.7220297665365281;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Change Final Invoice Indicator'];d73f9c91-91e6-4cfa-9460-c5e04baaa2e1_Object_approval_Object_final invoice indicator;651
0a5b371d-c9f2-40d8-91c2-1a05923578ef_Object_approval_Object_purchase order;Multi-object;;Responded Existence[approval, purchase order] | | |;Binary;set();set();Responded Existence;approval;purchase order;1;if {1} occurs in the process instance, then {2} occurs as well;{'approval': 1.0000001192092896, 'purchase order': 0.6005205512046814};0.8002603352069855;0a5b371d-c9f2-40d8-91c2-1a05923578ef_Object_approval_Object_purchase order;0.7234601081378998;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Release Purchase Order'];0a5b371d-c9f2-40d8-91c2-1a05923578ef_Object_approval_Object_purchase order;650
7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_reactivate purchase order item_Object_clear invoice;Activity;;Exclusive Choice[reactivate purchase order item, clear invoice] | | |;Binary;set();set();Exclusive Choice;reactivate purchase order item;clear invoice;1;{1} or {2} occurs, but never both in the same process instance;{'reactivate purchase order item': 0.600710928440094, 'clear invoice': 1.000000238418579};0.8003555834293365;7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_reactivate purchase order item_Object_clear invoice;0.7238914536578315;['Reactivate Purchase Order Item'];['Clear Invoice'];7e870180-2fdc-4ee2-8f1b-cbabc39f3e3f_Object_reactivate purchase order item_Object_clear invoice;5505
b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_subsequent invoice;Multi-object;;Alternate Response[approval, subsequent invoice] | | |;Binary;set();set();Alternate Response;approval;subsequent invoice;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'approval': 1.0000001192092896, 'subsequent invoice': 0.6018521785736084};0.800926148891449;b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_subsequent invoice;0.724059340453917;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_subsequent invoice;651
ce7ac891-c98e-4065-a51b-78ebd2fe9f1d_Object_approval_Object_subsequent invoice;Multi-object;;Succession[approval, subsequent invoice] | | |;Binary;set();set();Succession;approval;subsequent invoice;1;{1} occurs if and only if it is followed by {2};{'approval': 1.0000001192092896, 'subsequent invoice': 0.6018521785736084};0.800926148891449;ce7ac891-c98e-4065-a51b-78ebd2fe9f1d_Object_approval_Object_subsequent invoice;0.724059340453917;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];ce7ac891-c98e-4065-a51b-78ebd2fe9f1d_Object_approval_Object_subsequent invoice;674
d73f9c91-91e6-4cfa-9460-c5e04baaa2e1_Object_approval_Object_subsequent invoice;Multi-object;;Alternate Succession[approval, subsequent invoice] | | |;Binary;set();set();Alternate Succession;approval;subsequent invoice;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'approval': 1.0000001192092896, 'subsequent invoice': 0.6018521785736084};0.800926148891449;d73f9c91-91e6-4cfa-9460-c5e04baaa2e1_Object_approval_Object_subsequent invoice;0.724059340453917;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];d73f9c91-91e6-4cfa-9460-c5e04baaa2e1_Object_approval_Object_subsequent invoice;674
de2d00fd-0d9a-4b5d-abb0-50652af0e14a_Object_create purchase requisition item_Object_record goods receipt;Activity;;Precedence[create purchase requisition item, record goods receipt] | | |;Binary;set();set();Precedence;create purchase requisition item;record goods receipt;1;{2} occurs only if it is preceded by {1};{'create purchase requisition item': 0.602037787437439, 'record goods receipt': 1.0};0.8010188937187195;de2d00fd-0d9a-4b5d-abb0-50652af0e14a_Object_create purchase requisition item_Object_record goods receipt;0.7244884329182761;['Create Purchase Requisition Item'];['Record Goods Receipt'];de2d00fd-0d9a-4b5d-abb0-50652af0e14a_Object_create purchase requisition item_Object_record goods receipt;13428
